group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
organic,ethylene_glycol,C<sub>2</sub>H<sub>4</sub>(OH)<sub>2</sub> (Ethylene glycol),El-Kashef,El-Kashef 2000: n 0.4–0.8 µm,organic/C2H6O2 - ethylene glycol/El-Kashef.yml,0.4,0.8,El-Kashef
organic,propylene_glycol,C<sub>3</sub>H<sub>6</sub>(OH)<sub>2</sub> (Propylene glycol),Otanicar,"Otanicar et al. 2009: n 0.434–0.656 µm, k 0.2–1.5 µm",organic/C3H8O2 - propylene glycol/Otanicar.yml,0.434,0.656,Otanicar
organic,glycerol,C<sub>3</sub>H<sub>5</sub>(OH)<sub>3</sub> (Glycerol),Rheims,Rheims et al. 1997: n 0.589–1.05 µm,organic/C3H8O3 - glycerol/Rheims.yml,0.5893,1.05,Rheims
organic,glycerol,C<sub>3</sub>H<sub>5</sub>(OH)<sub>3</sub> (Glycerol),Nyakuchena,Nyakuchena et al. 2023: n 1.10–1.65 µm,organic/C3H8O3 - glycerol/Nyakuchena.yml,1.1,1.65,Nyakuchena
organic,glycerol,C<sub>3</sub>H<sub>5</sub>(OH)<sub>3</sub> (Glycerol),Gupta,Gupta et al. 2022: n 0.40–0.71 µm,organic/C3H8O3 - glycerol/Gupta.yml,0.4,0.71,Gupta
organic,glycerol,C<sub>3</sub>H<sub>5</sub>(OH)<sub>3</sub> (Glycerol),Wang,Wang et al. 2017: k 1.2–1.9 µm,organic/C3H8O3 - glycerol/Wang.yml,1.2,1.9,Wang
organic,glycerol,C<sub>3</sub>H<sub>5</sub>(OH)<sub>3</sub> (Glycerol),Birkhoff,"Birkhoff et al. 1978: n,k 0.0512–0.620 µm",organic/C3H8O3 - glycerol/Birkhoff.yml,0.05123,0.61992,Birkhoff
organic,ethyl_acetate,"C<sub>4</sub>H<sub>8</sub>O<sub>2</sub> (Ethyl acetate, EtOAc, EA)",Kozma,Kozma et al. 2005: n 0.248–0.641 µm,organic/C4H8O2 - ethyl acetate/Kozma.yml,0.2484,0.6407,Kozma
organic,methyl_salicylate,C<sub>8</sub>H<sub>8</sub>O<sub>3</sub> (Methyl salicylate),Rheims,Rheims et al. 1997: n 0.589–1.05 µm,organic/C8H8O3 - methyl salicylate/Rheims.yml,0.5893,1.05,Rheims
organic,ethyl_salicylate,C<sub>9</sub>H<sub>10</sub>O<sub>3</sub> (Ethyl salicylate),Rheims,Rheims et al. 1997: n 0.589–1.05 µm,organic/C9H10O3 - ethyl salicylate/Rheims.yml,0.5893,1.05,Rheims
