group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),N-SK14,N-SK14,glass/schott/N-SK14.yml,0.31,2.5,N-SK14
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),N-SK15,N-SK15,glass/schott/N-SK15.yml,0.334,2.5,N-SK15
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),N-SK16,N-SK16,glass/schott/N-SK16.yml,0.31,2.5,N-SK16
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),P-SK57,P-SK57,glass/schott/P-SK57.yml,0.32,2.5,P-SK57
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),P-SK57Q1,P-SK57Q1,glass/schott/P-SK57Q1.yml,0.32,2.5,P-SK57Q1
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),P-SK58A,P-SK58A,glass/schott/P-SK58A.yml,0.32,2.5,P-SK58A
glass,SCHOTT-SK,SCHOTT - SK (Dense crown),P-SK60,P-SK60,glass/schott/P-SK60.yml,0.3,2.5,P-SK60
glass,SCHOTT-SSK,SCHOTT - SSK (Very dense crown),N-SSK2,N-SSK2,glass/schott/N-SSK2.yml,0.35,2.5,N-SSK2
glass,SCHOTT-SSK,SCHOTT - SSK (Very dense crown),N-SSK5,N-SSK5,glass/schott/N-SSK5.yml,0.35,2.5,N-SSK5
glass,SCHOTT-SSK,SCHOTT - SSK (Very dense crown),N-SSK8,N-SSK8,glass/schott/N-SSK8.yml,0.35,2.5,N-SSK8
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),BK7G18,BK7G18,glass/schott/BK7G18.yml,0.38,2.5,BK7G18
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),N-BK7,SCHOTT N-BK7®,glass/schott/N-BK7.yml,0.3,2.5,N-BK7
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),N-BK7HT,N-BK7HT,glass/schott/N-BK7HT.yml,0.3,2.5,N-BK7HT
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),N-BK7HTi,N-BK7HTi,glass/schott/N-BK7HTi.yml,0.3,2.5,N-BK7HTi
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),N-BK10,N-BK10,glass/schott/N-BK10.yml,0.29,2.5,N-BK10
glass,SCHOTT-BK,SCHOTT - BK (Borosilicate crown),P-BK7,P-BK7,glass/schott/P-BK7.yml,0.31,2.5,P-BK7
glass,SCHOTT-BaK,SCHOTT - BaK (Barium crown),N-BAK1,N-BAK1,glass/schott/N-BAK1.yml,0.3,2.5,N-BAK1
glass,SCHOTT-BaK,SCHOTT - BaK (Barium crown),N-BAK2,N-BAK2,glass/schott/N-BAK2.yml,0.3,2.5,N-BAK2
